year	site	gap	tag	burn_yr	sv0708	sv0807	sago06	sago05	sago04	sago03	sago02	sago01	ht08	ht07	ht06	ht05	ht04	ht03	ht02	ht01	rep0708	rep0807	rep806	rep05	rep04	rep03	rep02	rep01	stm08	stm07	stm06	stm05	stm04	stm03	stm02	stm01	sv0709	sv0708	sv0807	sago06	sago05	sago04	sago03	sago02	ht09	ht08	ht07	ht06	ht05	ht04	ht03	ht02	rep09	rep0708	rep0807	rep806	rep05	rep04	rep03	rep02
2002	103	5248	66	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	54	32	17	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	54	32	17	NA	NA	NA	NA	NA	1	1	1
2002	103	5248	67	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	44	22	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	44	22	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	68	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	36	37	12	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	36	37	12	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	69	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	40	7	5	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	40	7	5	NA	NA	NA	NA	NA	1	0	0
2002	103	5248	70	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	38	35	5	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	38	35	5	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	71	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	43	34	5	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	43	34	5	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	72	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	24	24	2	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	24	24	2	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	73	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	34	28	3	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	34	28	3	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	74	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	39	34	5	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	39	34	5	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	75	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	42	23	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	42	23	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5248	76	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	31	36	15	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	31	36	15	NA	NA	NA	NA	NA	1	1	0
